Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2014,201403,Mar-14,4,0,2,Exports,56,Belgium,,724,Spain,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,42755,,125642,,,0
HS,2014,201401,Jan-14,4,0,2,Exports,56,Belgium,,372,Ireland,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,1562,,4015,,,0
HS,2014,201412,Dec-14,4,0,2,Exports,56,Belgium,,579,Norway,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,0,,1,,,0
HS,2014,201406,Jun-14,4,0,2,Exports,56,Belgium,,616,Poland,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,655507,,715902,,,0
HS,2014,201409,Sep-14,4,0,2,Exports,56,Belgium,,688,Serbia,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,95285,,168133,,,0
HS,2014,201409,Sep-14,4,0,2,Exports,56,Belgium,,690,Seychelles,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,41027,,34864,,,0
HS,2014,201405,May-14,4,0,2,Exports,56,Belgium,,490,"Other Asia, nes",,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,23328,,21097,,,0
HS,2014,201409,Sep-14,4,0,2,Exports,56,Belgium,,694,Sierra Leone,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,22288,,16895,,,0
HS,2014,201401,Jan-14,4,0,2,Exports,56,Belgium,,384,Côte d'Ivoire,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,66939,,51866,,,0
HS,2014,201406,Jun-14,4,0,1,Imports,56,Belgium,,246,Finland,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,3486,,10189,,,0
HS,2014,201405,May-14,4,0,2,Exports,56,Belgium,,579,Norway,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,0,,4,,,0
HS,2014,201405,May-14,4,0,1,Imports,56,Belgium,,0,World,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,98310441,,78559465,,,0
HS,2014,201405,May-14,4,0,2,Exports,56,Belgium,,0,World,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,93374003,,78949009,,,0
HS,2014,201409,Sep-14,4,0,2,Exports,56,Belgium,,703,Slovakia,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,6108,,11023,,,0
HS,2014,201406,Jun-14,4,0,1,Imports,56,Belgium,,616,Poland,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,55872,,222872,,,0
HS,2014,201406,Jun-14,4,0,1,Imports,56,Belgium,,300,Greece,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,378,,267,,,0
HS,2014,201405,May-14,4,0,2,Exports,56,Belgium,,24,Angola,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,775244,,613506,,,0
HS,2014,201403,Mar-14,4,0,2,Exports,56,Belgium,,826,United Kingdom,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,699861,,662979,,,0
HS,2014,201406,Jun-14,4,0,1,Imports,56,Belgium,,620,Portugal,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,10042,,57825,,,0
HS,2014,201401,Jan-14,4,0,2,Exports,56,Belgium,,400,Jordan,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,126277,,94767,,,0
HS,2014,201405,May-14,4,0,2,Exports,56,Belgium,,28,Antigua and Barbuda,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,23499,,16895,,,0
HS,2014,201401,Jan-14,4,0,2,Exports,56,Belgium,,702,Singapore,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,183305,,841992,,,0
HS,2014,201407,Jul-14,4,0,2,Exports,56,Belgium,,442,Luxembourg,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,137832,,405060,,,0
HS,2014,201402,Feb-14,4,0,2,Exports,56,Belgium,,348,Hungary,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,162,,792,,,0
HS,2014,201412,Dec-14,4,0,2,Exports,56,Belgium,,156,China,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,57342,,202024,,,0
HS,2014,201406,Jun-14,4,0,2,Exports,56,Belgium,,428,Latvia,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,41160,,200282,,,0
HS,2014,201401,Jan-14,4,0,2,Exports,56,Belgium,,703,Slovakia,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,775,,3844,,,0
HS,2014,201408,Aug-14,4,0,2,Exports,56,Belgium,,12,Algeria,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,1380819,,6137182,,,0
HS,2014,201408,Aug-14,4,0,2,Exports,56,Belgium,,24,Angola,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,1461,,10096,,,0
HS,2014,201405,May-14,4,0,2,Exports,56,Belgium,,381,Italy,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,1298938,,4288973,,,0
HS,2014,201408,Aug-14,4,0,2,Exports,56,Belgium,,31,Azerbaijan,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,35767,,144286,,,0
HS,2014,201412,Dec-14,4,0,2,Exports,56,Belgium,,40,Austria,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,74179,,195859,,,0
HS,2014,201409,Sep-14,4,0,2,Exports,56,Belgium,,724,Spain,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,263061,,947167,,,0
HS,2014,201407,Jul-14,4,0,2,Exports,56,Belgium,,826,United Kingdom,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,1738515,,5824177,,,0
HS,2014,201402,Feb-14,4,0,2,Exports,56,Belgium,,203,Czech Rep.,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,1114,,7210,,,0
HS,2014,201412,Dec-14,4,0,2,Exports,56,Belgium,,178,Congo,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,120,,8042,,,0
HS,2014,201406,Jun-14,4,0,2,Exports,56,Belgium,,440,Lithuania,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,37,,185,,,0
HS,2014,201401,Jan-14,4,0,2,Exports,56,Belgium,,704,Viet Nam,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,274000,,1147276,,,0
HS,2014,201409,Sep-14,4,0,2,Exports,56,Belgium,,826,United Kingdom,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,1553702,,4221791,,,0
HS,2014,201405,May-14,4,0,2,Exports,56,Belgium,,724,Spain,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,348638,,1592062,,,0
HS,2014,201408,Aug-14,4,0,2,Exports,56,Belgium,,48,Bahrain,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,9900,,33846,,,0
HS,2014,201412,Dec-14,4,0,2,Exports,56,Belgium,,180,Dem.Rep. of the Congo,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,129,,648,,,0
HS,2014,201406,Jun-14,4,0,2,Exports,56,Belgium,,458,Malaysia,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,82537,,336202,,,0
HS,2014,201408,Aug-14,4,0,2,Exports,56,Belgium,,50,Bangladesh,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,124514,,418947,,,0
HS,2014,201412,Dec-14,4,0,2,Exports,56,Belgium,,616,Poland,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,64200,,183166,,,0
HS,2014,201402,Feb-14,4,0,2,Exports,56,Belgium,,208,Denmark,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,50509,,247873,,,0
HS,2014,201407,Jul-14,4,0,2,Exports,56,Belgium,,156,China,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,40000,,230735,,,0
HS,2014,201412,Dec-14,4,0,2,Exports,56,Belgium,,348,Hungary,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,25753,,70176,,,0
HS,2014,201408,Aug-14,4,0,1,Imports,56,Belgium,,757,Switzerland,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,43300,,168571,,,0
HS,2014,201409,Sep-14,4,0,2,Exports,56,Belgium,,276,Germany,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,896579,,2322915,,,0
HS,2014,201407,Jul-14,4,0,2,Exports,56,Belgium,,528,Netherlands,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,5550496,,13305327,,,0
HS,2014,201407,Jul-14,4,0,2,Exports,56,Belgium,,348,Hungary,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,3346,,14964,,,0
HS,2014,201412,Dec-14,4,0,2,Exports,56,Belgium,,360,Indonesia,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,1722570,,4954796,,,0
HS,2014,201407,Jul-14,4,0,2,Exports,56,Belgium,,178,Congo,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,62063,,317795,,,0
HS,2014,201406,Jun-14,4,0,2,Exports,56,Belgium,,478,Mauritania,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,56898,,232552,,,0
HS,2014,201409,Sep-14,4,0,1,Imports,56,Belgium,,579,Norway,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,542,,4806,,,0
HS,2014,201407,Jul-14,4,0,2,Exports,56,Belgium,,360,Indonesia,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,642846,,2670490,,,0
