Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2014,201411,Exports,Belgium,Cabo Verde,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,1100165
2014,201411,Exports,Belgium,Dem.Rep. of the Congo,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,36982
2014,201411,Exports,Belgium,Bangladesh,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,664189
2014,201411,Exports,Belgium,Haiti,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,10813
2014,201411,Exports,Belgium,Egypt,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,427477
2014,201411,Exports,Belgium,Romania,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,182770
2014,201411,Exports,Belgium,Angola,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,3018
2014,201411,Exports,Belgium,Yemen,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,307021
2014,201411,Exports,Belgium,Cameroon,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,324860
2014,201411,Exports,Belgium,Bahrain,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,31701
2014,201411,Exports,Belgium,Congo,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,69697
2014,201411,Exports,Belgium,Slovenia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,809
2014,201411,Exports,Belgium,Lithuania,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,245
2014,201411,Exports,Belgium,Estonia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,33954
2014,201411,Exports,Belgium,Trinidad and Tobago,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,33414
2014,201411,Exports,Belgium,Gabon,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,289020
2014,201411,Exports,Belgium,Rwanda,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,8533
2014,201411,Exports,Belgium,Indonesia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,548834
2014,201411,Exports,Belgium,Myanmar,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,602967
2014,201411,Exports,Belgium,Gambia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,106144
2014,201411,Exports,Belgium,Ukraine,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,31802
2014,201411,Exports,Belgium,Pakistan,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,1441457
2014,201411,Exports,Belgium,China,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,106996
2014,201411,Exports,Belgium,Croatia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,81974
2014,201411,Exports,Belgium,Mexico,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,443483
2014,201411,Exports,Belgium,Qatar,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,21664
2014,201411,Exports,Belgium,Peru,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,325
2014,201411,Exports,Belgium,Burkina Faso,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,129177
2014,201411,Exports,Belgium,Kazakhstan,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,123644
2014,201411,Exports,Belgium,Thailand,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,2127533
2014,201411,Exports,Belgium,Finland,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,67533
2014,201411,Exports,Belgium,Kenya,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,293
2014,201411,Exports,Belgium,Serbia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,143611
2014,201411,Exports,Belgium,Benin,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,74863
2014,201411,Exports,Belgium,Jordan,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,2333409
2014,201411,Exports,Belgium,Senegal,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,64822
2014,201411,Exports,Belgium,Lebanon,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,696552
2014,201403,Exports,Belgium,Gabon,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,310803
2014,201410,Exports,Belgium,Portugal,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,137054
2014,201408,Imports,Belgium,Luxembourg,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,50968
2014,201411,Exports,Belgium,Greece,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,899949
2014,201411,Exports,Belgium,Chile,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,627
2014,201411,Exports,Belgium,Jamaica,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,17180
2014,201411,Exports,Belgium,Saudi Arabia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,132056
2014,201404,Exports,Belgium,Denmark,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,545398
2014,201403,Exports,Belgium,Greece,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,744916
2014,201410,Exports,Belgium,Denmark,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,340940
2014,201407,Imports,Belgium,Spain,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,96737
2014,201401,Exports,Belgium,Gabon,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,171105
2014,201404,Imports,Belgium,Norway,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,3617
2014,201404,Exports,Belgium,Italy,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,3073477
2014,201410,Exports,Belgium,Austria,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,134196
2014,201407,Imports,Belgium,Italy,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,4865
2014,201408,Imports,Belgium,New Zealand,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,346174
2014,201407,Imports,Belgium,Denmark,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,153833
2014,201412,Imports,Belgium,Luxembourg,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,8177
2014,201408,Imports,Belgium,Poland,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,401585
2014,201409,Imports,Belgium,Czech Rep.,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,626936
2014,201406,Exports,Belgium,Rwanda,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,8253
2014,201408,Imports,Belgium,Portugal,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,3430
2014,201404,Imports,Belgium,Switzerland,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,267444
2014,201409,Exports,Belgium,Angola,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,1966
2014,201407,Imports,Belgium,United Kingdom,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,6281872
2014,201407,Imports,Belgium,Greece,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,2041
2014,201412,Imports,Belgium,Poland,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,553638
